TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment,Aggregation Level 1,Aggregation Level 2,sankey_overview,custom,Notes
ELCPEL,Wood Pellets (ELC),PJ,ELC,NRG,Wood Pellets (ELC),Wood Pellets (ELC),,,Fuel for public biomass CHP; was unmapped → CHP lost fuel FIn,Wood Pellets (ELC),Wood Pellets (ELC),Biomass & biofuels,Biomass & biofuels (context),
ELCWST,Wastes Non-Renewable (ELC),PJ,ELC,NRG,Wastes Non-Renewable (ELC),Wastes Non-Renewable (ELC),,,Waste fuel for ELC/CHP; was unmapped → CHP lost fuel FIn,Wastes Non-Renewable (ELC),Wastes Non-Renewable (ELC),Biomass & biofuels,Biomass & biofuels (context),
ELCSLU,Wastes Renewable (ELC),PJ,ELC,NRG,Wastes Renewable (ELC),Wastes Renewable (ELC),,,Renewable waste fuel for ELC/CHP; was unmapped → CHP lost fuel FIn,Wastes Renewable (ELC),Wastes Renewable (ELC),Biomass & biofuels,Biomass & biofuels (context),
IPPHTH,High Temperature Heat for IPH and IPL (IND),PJ,IND,NRG,Heat for industry,Heat for industry,,,Industrial CHP / process heat; was unmapped → CHP FOut understated on energy Sankey,Heat for industry,Heat for industry,Heat,Heat (context),
IOFHTH,Other Food.Steam.,PJ,IND,NRG,Heat for industry,Heat for industry,,,Industrial CHP / process heat; was unmapped → CHP FOut understated on energy Sankey,Heat for industry,Heat for industry,Heat,Heat (context),
IBOHTH,High Temperature Heat for IBO (IND),PJ,IND,NRG,Heat for industry,Heat for industry,,,Industrial CHP / process heat; was unmapped → CHP FOut understated on energy Sankey,Heat for industry,Heat for industry,Heat,Heat (context),
IPOHTH,High Temperature Heat for IPO (IND),PJ,IND,NRG,Heat for industry,Heat for industry,,,Industrial CHP / process heat; was unmapped → CHP FOut understated on energy Sankey,Heat for industry,Heat for industry,Heat,Heat (context),
IMLHTH,High Temperature Heat for IML (IND),PJ,IND,NRG,Heat for industry,Heat for industry,,,Industrial CHP / process heat; was unmapped → CHP FOut understated on energy Sankey,Heat for industry,Heat for industry,Heat,Heat (context),
INMHTH,High Temperature Heat for INM (IND),PJ,IND,NRG,Heat for industry,Heat for industry,,,Industrial CHP / process heat; was unmapped → CHP FOut understated on energy Sankey,Heat for industry,Heat for industry,Heat,Heat (context),
IMPH2,imported hydrogen,PJ,IMP,NRG,imported hydrogen,imported hydrogen,,IMPH2,H2 import commodity (IMPH2 process → INDGH2C01_i / other _i delivery); was unmapped → Sankey hid ~20 PJ FIn on hydrogen imports,imported hydrogen,imported hydrogen,Hydrogen,imported hydrogen,
