TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment,Aggregation Level 1,Aggregation Level 2,sankey_overview,custom,Notes
OILLPG,Liquified Petroleum Gas,PJ,SUP,,Other fuels,Liquified Petroleum Gas,,,,Other fuels,Liquified Petroleum Gas,Oil products,Liquified Petroleum Gas,
RW4F,hot water for 4f houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
COMBDL,Biodiesel for Commercial sector,PJ,COM,,Biodiesel for Commercial sector,Biodiesel for Commercial sector,,,,Biodiesel for Commercial sector,Biodiesel for Commercial sector,Biomass & biofuels,Biomass & biofuels (context),
COMSOL,Commercial: Solar,PJ,COM,,Commercial: Solar,Commercial: Solar,,,,Commercial: Solar,Commercial: Solar,Heat,Heat (context),
BIOLOG,Wood Logs,PJ,SUP,,Biomass,Wood Logs,,,,Biomass,Wood Logs,Biomass & biofuels,Biomass & biofuels (context),
SYNH2CU,Centralized hydrogen (Underground storage),PJ,SUP,,Centralized hydrogen (Underground storage),Centralized hydrogen (Underground storage),,,,Centralized hydrogen (Underground storage),Centralized hydrogen (Underground storage),Hydrogen,Hydrogen (context),
RENWIN,Renewable: Wind,PJ,SUP,,Wind,Renewable: Wind,,,,Wind,Renewable: Wind,Electricity,Renewable: Wind,
AGRBDL,Biodiesel for agriculture,PJ,AGR,,Biodiesel for agriculture,Biodiesel for agriculture,,,,Biodiesel for agriculture,Biodiesel for agriculture,Biomass & biofuels,Biodiesel for agriculture,
RSDSOL,Residential: Solar,PJ,RSD,,Residential: Solar,Residential: Solar,,,,Residential: Solar,Residential: Solar,Heat,Heat (context),
RH2F,space heating for 2f houses,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
COACOK,Coke,PJ,SUP,,Coke,Coke,,,,Coke,Coke,Coal & solids,Coal & solids (context),
OILDST,Diesel,PJ,SUP,,Diesel,Diesel,,,Specific custom label so export hub is not Oil products (context); avoids diesel↔kerosene cross-links,Diesel,Diesel,Oil products,Diesel,
RHAP,space heating for apartments,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
AGRELC,Electricity for agriculture,PJ,AGR,,Electricity for agriculture,Electricity for agriculture,,,,Electricity for agriculture,Electricity for agriculture,Electricity,Electricity for agriculture,
COALIG,Lignite,PJ,SUP,,Lignite,Lignite,,,,Lignite,Lignite,Coal & solids,Coal & solids (context),
NUCRSV,Uranium (Dummy Reserves),PJ,SUP,,Uranium (Dummy Reserves),Uranium (Dummy Reserves),,,,Uranium (Dummy Reserves),Uranium (Dummy Reserves),Other,Uranium (nuclear fuel),
GASNAT,Natural Gas,PJ,SUP,,Natural Gas,Natural Gas,,,,Natural Gas,Natural Gas,Gas,Natural Gas,
OILHFO,Residual Fuel Oil,PJ,SUP,,Other fuels,Residual Fuel Oil,,,,Other fuels,Residual Fuel Oil,Oil products,Heavy Fuel Oil,
ELCHET,Heat from Electricity sector,PJ,ELC,,Heat from CHP,Heat from CHP,,,,Heat from CHP,Heat from CHP,Electricity,Heat from CHP,
AGRHET,Heat for agriculture,PJ,AGR,,Heat for agriculture,Heat for agriculture,,,,Heat for agriculture,Heat for agriculture,Heat,Heat for agriculture,
COAHAR,Hard Coal,PJ,SUP,,Hard Coal,Hard Coal,,,,Hard Coal,Hard Coal,Coal & solids,Coal & solids (context),
OILOTH,Other Petroleum Products,PJ,SUP,,Other fuels,Other Petroleum Products,,,,Other fuels,Other Petroleum Products,Oil products,Other oil products,
SUPGAS,Supply: Natural Gas,PJ,SUP,,Supply: Natural Gas,Supply: Natural Gas,,,,Supply: Natural Gas,Supply: Natural Gas,Gas,Supply: Natural Gas,
RH3F,space heating for 3F houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
BIOETH,Bioethanol,PJ,SUP,,Other fuels,Bioethanol,,,,Other fuels,Bioethanol,Biomass & biofuels,Biomass & biofuels (context),
SYNH2CT,Centralized hydrogen (Tank storage),PJ,SUP,,Centralized hydrogen (Tank storage),Centralized hydrogen (Tank storage),,,,Centralized hydrogen (Tank storage),Centralized hydrogen (Tank storage),Hydrogen,Hydrogen (context),
RW2F,hot water for 2F houses,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
SUPDST,Diesel,PJ,SUP,,Diesel,Diesel,,,,Diesel,Diesel,Oil products,Oil products (context),
BIOCPS,Wood Chips,PJ,SUP,,Biomass,Wood Chips,,,Specific label so Power plants → Wood CHIPS (IND) artifact from Biomass (context) mix goes away,Biomass,Wood Chips,Biomass & biofuels,Wood Chips,
RENSOL,Renewable: Solar,PJ,SUP,,Renewable: Solar,Renewable: Solar,,,,Renewable: Solar,Renewable: Solar,Electricity,Renewable: Solar,
SUPHET,Heat for digestor,PJ,SUP,,Heat for digestor,Heat for digestor,,,,Heat for digestor,Heat for digestor,Heat,Heat for digestor,
ELCBIO,Biomass for Electricity sector,PJ,ELC,,Biomass,Biomass for Electricity sector,,,,Biomass,Biomass for Electricity sector,Electricity,Biomass for Electricity sector,
ELCHYD,Hydro for Electricity sector,PJ,ELC,,Hydro for Electricity sector,Hydro for Electricity sector,,,,Hydro for Electricity sector,Hydro for Electricity sector,Electricity,Hydro for Electricity sector,
ELCOIL,Oil for Electricity sector,PJ,ELC,,Oil for Electricity sector,Oil for Electricity sector,,,,Oil for Electricity sector,Oil for Electricity sector,Electricity,Oil for Electricity sector,
SUPBGS,Biogas for Supply sector,PJ,SUP,,Biogas,Biogas for Supply sector,,,,Biogas,Biogas for Supply sector,Gas,Gas (context),
RHDJAP_2021,space heating for apartments (2021),PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
RHDJ4F_2021,space heating for 4f houses (2021),PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RHN4F,space heating for 4f houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RWN3F,hot water for 3F houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RHNAP,space heating for apartments,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
RHDJ2F_2021,space heating for 2f houses (2021),PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
RHN2F,space heating for 2f houses,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
RWNAP,hot water for apartments (new),PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
RWN4F,hot water for 4F houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RHDJ3F_2021,space heating for 3F houses (2021),PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RHN3F,space heating for 3f houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RWN2F,hot water for 2F houses,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
RCDR,Rsd.Cloth Drying.Existing,PJ,RSD,,electricity for residential,Electricity ,,,,electricity for residential,Electricity,Electricity,Household appliance services,
RCOK,Rsd.Cooking.Existing,PJ,RSD,,electricity for residential,Electricity ,,,,electricity for residential,Electricity,Electricity,Household appliance services,
RCWA,Rsd.Cloth Washing.Existing,PJ,RSD,,electricity for residential,Electricity ,,,,electricity for residential,Electricity,Electricity,Household appliance services,
RDWA,Rsd.Dish Washing.Existing,PJ,RSD,,electricity for residential,Electricity ,,,,electricity for residential,Electricity,Electricity,Household appliance services,
RLIG,Rsd.Lighting.Existing.,PJ,RSD,,electricity for residential,Electricity ,,,,electricity for residential,Electricity,Electricity,Household appliance services,
RREF,Rsd.Refrigeration.Existing.,PJ,RSD,,electricity for residential,electricity for residential,,,,electricity for residential,electricity for residential,Electricity,Household appliance services,
ROEN,Rsd.Other Energy.Existing.,PJ,RSD,,electricity for residential,electricity for residential,,,,electricity for residential,electricity for residential,Electricity,electricity for residential,
ROEL,Rsd.Other Electric.Existing.,PJ,RSD,,electricity for residential,electricity for residential,,,,electricity for residential,electricity for residential,Electricity,Household appliance services,
TRALPG,Fuel Tech - Liquified Petroleum Gas (TRA),PJ,TRA,,total energy for transport,total energy for transport,,,,total energy for transport,total energy for transport,Oil products,Oil products (context),
TNDF,Navigation Domestic Freight Tech Existing,PJ,TRA,,domestic navigation,domestic navigation,,,,domestic navigation,domestic navigation,Oil products,domestic navigation,
AGRCPS,Wood for agriculture,PJ,AGR,,Wood for agriculture,Wood for agriculture,,,,Wood for agriculture,Wood for agriculture,Biomass & biofuels,Biomass & biofuels (context),
CHBA,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CHBP,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CHCO,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CHCS,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CHEN,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CHNCS,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CHSA,Space heating for commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWBA,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWBP,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWCO,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWCS,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWEN,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWNBA,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWNBP,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWNCO,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWNCS,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWNEN,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWNSA,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
CWSA,Hot water for Commercial sector,PJ,COM,,BEWAL services urban decentral heat,Heat,,,,BEWAL services urban decentral heat,Heat,Heat,Heat,
INDBIO,Biofuel for industry,PJ,IND,,Biofuel for industry,Biofuel for industry,,,,Biofuel for industry,Biofuel for industry,Biomass & biofuels,Biomass & biofuels (context),
AGRAP,Electricity for agriculture,PJ,AGR,,Electricity for agriculture,Electricity for agriculture,,,,Electricity for agriculture,Electricity for agriculture,Electricity,Electricity for agriculture,
INDGASCOG,Gas and Cog for industry,PJ,COM,,gas for industry,gas for industry,,,,gas for industry,gas for industry,Gas,gas for industry,
INDIIS,IIS GMX - Corex GMX or BFG TGR with CCS or BOF,PJ,COM,,gas for industry,gas for industry,,,,gas for industry,gas for industry,Gas,gas for industry,
CCEN,Commercial space cooling Enseignment Existing,PJ,COM,NRG,Commercial cooling,Commercial cooling,,,auto-added from AllCommodities.csv,Commercial cooling,Commercial space cooling Enseignment Existing,Other,Commercial cooling,
DJ2F,Energy correction based on degree days,PJ,RSD,DEM,Energy correction based on degree days,DJ2F,,,auto-added from AllCommodities.csv,Energy correction based on degree days,DJ2F,Other,Other,
TAIP,Aviation International Passengers,PJ,TRA,DEM,Fuel for aviation,international aviation,,,auto-added from AllCommodities.csv,Fuel for aviation,international aviation,Oil products,international aviation,
DJ3F,Energy correction based on degree days,PJ,RSD,DEM,Energy correction based on degree days,DJ3F,,,auto-added from AllCommodities.csv,Energy correction based on degree days,DJ3F,Other,Other,
RSDGEO,Geothermal (RSD),PJ,RSD,NRG,Geothermal (RSD),Geothermal (RSD),,,auto-added from AllCommodities.csv,Geothermal (RSD),Geothermal (RSD),Heat,Heat (context),
TADF,Aviation Domestic Freight,PJ,TRA,DEM,Fuel for aviation,domestic aviation,,,auto-added from AllCommodities.csv,Fuel for aviation,domestic aviation,Oil products,domestic aviation,
INDGEO,Geothermal (IND),PJ,IND,NRG,Geothermal (IND),Geothermal (IND),,,auto-added from AllCommodities.csv,Geothermal (IND),Geothermal (IND),Heat,Geothermal (IND),
CCDATA,Commercial space cooling Data Center Existing,PJ,COM,NRG,Commercial cooling,Commercial cooling,,,auto-added from AllCommodities.csv,Commercial cooling,Commercial space cooling Data Center Existing,Other,Commercial cooling,
CCBP,"Commercial space cooling Bureaux: transport et communication, banques etc Existing",PJ,COM,NRG,Commercial cooling,Commercial cooling,,,auto-added from AllCommodities.csv,Commercial cooling,"Commercial space cooling Bureaux: transport et communication, banques etc Existing",Other,Commercial cooling,
DJ4F,Energy correction based on degree days,PJ,RSD,DEM,Energy correction based on degree days,DJ4F,,,auto-added from AllCommodities.csv,Energy correction based on degree days,DJ4F,Other,Other,
CCBA,Commercial space cooling Bureaux: Administration Existing,PJ,COM,NRG,Commercial cooling,Commercial cooling,,,auto-added from AllCommodities.csv,Commercial cooling,Commercial space cooling Bureaux: Administration Existing,Other,Commercial cooling,
CCCO,Commercial space cooling Commerce Existing,PJ,COM,NRG,Commercial cooling,Commercial cooling,,,auto-added from AllCommodities.csv,Commercial cooling,Commercial space cooling Commerce Existing,Other,Commercial cooling,
