Technology (Process),Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 2,sankey_overview,custom
CHSAGMX100,COM,.PRE.,Com.Space Heat.SA.GAS.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHSAGMX501,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHSAGMX501_NRGO,ANNUAL,,Commercial gas boiler,Buildings,Commercial gas boiler
CHSAGMXCHPN01_N,COM,.CHP.,New CHP Commercial-SA_GMX,PJ,GW,CHP,CHSAGMXCHPN01_N_NRGO,DAYNITE,"0,00",tertiary CHP,CHP,CHP
CHSAHET100,COM,.PRE.,Com.Space Heat.SA.LTH.00.Heat exchanger.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHSALPG100,COM,.PRE.,Com.Space Heat.SA.LPG.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHSAOIL100,COM,.PRE.,Com.Space Heat.SA.OIL.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CHSAPEL100,COM,.PRE.,Com.Space Heat.SA.BIOPEL.00.Stove.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CLIGBAELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBAELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBAELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBAELC500,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBAELC501,COM,.PRE.,CLIGBAELC501,PJ,GW,PRE,CLIGBA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBPELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBPELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBPELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBPELC500,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGBPELC501,COM,.PRE.,CLIGBPELC501,PJ,GW,PRE,CLIGBP,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCOELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCOELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCOELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCOELC500,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCOELC501,COM,.PRE.,CLIGCOELC501,PJ,GW,PRE,CLIGCO,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCSELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCSELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCSELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCSELC500,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGCSELC501,COM,.PRE.,CLIGCSELC501,PJ,GW,PRE,CLIGCS,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGDATAELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGDATAELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGDATAELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGDATAELC500,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGDATAELC501,COM,.PRE.,CLIGDATAELC501,PJ,GW,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGENELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGENELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGENELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGENELC500,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGENELC501,COM,.PRE.,CLIGENELC501,PJ,GW,PRE,CLIGEN,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGNBAELC501,COM,.PRE.,CLIGNBAELC501,PJ,GW,PRE,CLIGNBA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGNBPELC501,COM,.PRE.,CLIGNBPELC501,PJ,GW,PRE,CLIGNBP,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGNCOELC501,COM,.PRE.,CLIGNCOELC501,PJ,GW,PRE,CLIGNCO,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGNCSELC501,COM,.PRE.,CLIGNCSELC501,PJ,GW,PRE,CLIGNCS,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGNDATAELC501,COM,.PRE.,CLIGNDATAELC501,PJ,GW,PRE,CLIGNDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGNENELC501,COM,.PRE.,CLIGNENELC501,PJ,GW,PRE,CLIGNEN,ANNUAL,,commercial other,Buildings,Commercial lighting
CLIGNSAELC501,COM,.PRE.,CLIGNSAELC501,PJ,GW,PRE,CLIGNSA,ANNUAL,,commercial other,Buildings,Commercial lighting
CLIGSAELC200,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGSAELC300,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGSAELC400,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGSAELC500,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,Buildings,Commercial lighting
CLIGSAELC501,COM,.PRE.,CLIGSAELC501,PJ,GW,PRE,CLIGSA,ANNUAL,,commercial other,Buildings,Commercial lighting
COELELC100,COM,.DMD.,Com.Other Electricity.ELC.00.Other Equipments.,PJ,PJA,DMD,COEL,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
COELELC101,COM,.DMD.,Com.Other Electricity.ELC.1010.Other Equipments.,PJ,PJA,DMD,COEL,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
COENMIX100,COM,.DMD.,Com.Other Energy.00.Other.,PJ,PJA,DMD,COEN,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
COENMIX101,COM,.DMD.,Com.Other Energy.101.Other,PJ,PJA,DMD,COEN,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
COMBDL00,COM,.PRE.,FT- Biodiesel (COM),PJ,PJA,PRE,COMBDL,ANNUAL,"0,00",FT- Biodiesel (COM),Buildings,Buildings (other)
COMBGS00,COM,.PRE.,Fuel Tech - biogaz enrichi (COM),PJ,PJA,PRE,COMBGS,ANNUAL,"0,00",Local production,End-use fuel tech,End-use fuel tech
COMCPS00,COM,.PRE.,Fuel Tech - Chips (COM),PJ,PJA,PRE,COMCPS,ANNUAL,"0,00",Fuel Tech - Wood Chips,End-use fuel tech,End-use fuel tech
COMELC00,COM,.PRE.,Fuel Tech - Electricity (COM),PJ,GW,PRE,COMELC,DAYNITE,"0,00",Fuel Tech - Electricity,End-use fuel tech,End-use fuel tech
COMGEO00,COM,.PRE.,Fuel Tech - Geothermal (COM),PJ,PJA,PRE,COMGEO,ANNUAL,"0,00",Fuel Tech - Geothermal,End-use fuel tech,End-use fuel tech
COMGMX00,COM,.PRE.,Fuel Tech  - Natural Gas (COM),PJ,PJA,PRE,COMGMX,ANNUAL,"0,00",Fuel Tech  - Natural Gas,End-use fuel tech,End-use fuel tech
COMGSL00,COM,.PRE.,Fuel Tech - GSL (COM),PJ,PJA,PRE,COMGSL,ANNUAL,"0,00",Gasoline,End-use fuel tech,End-use fuel tech
COMHET00,COM,.PRE.,Fuel Tech - Low Temparature Heat (COM),PJ,PJA,PRE,COMHET,ANNUAL,"0,00",Fuel Tech - Low Temparature Heat,End-use fuel tech,End-use fuel tech
COMLPG00,COM,.PRE.,Fuel Tech - Liquified Petroleum Gas (COM),PJ,PJA,PRE,COMLPG,ANNUAL,"0,00",Fuel Tech - Liquified Petroleum Gas,End-use fuel tech,End-use fuel tech
COMOIL00,COM,.PRE.,Fuel Tech - Oil (COM),PJ,PJA,PRE,COMOIL,ANNUAL,"0,00",Oil,End-use fuel tech,End-use fuel tech
COMPEL00,COM,.PRE.,Fuel Tech - Pellets (COM),PJ,PJA,PRE,COMPEL,ANNUAL,"0,00",Fuel Tech - Wood Pellets,End-use fuel tech,End-use fuel tech
COMPVELC,COM,.ELE.,PV commercial,PJ,GW,ELE,COMPVELC_NRGO,DAYNITE,"0,00",PV commercial,Buildings,PV
COMSOL00,COM,.PRE.,Fuel Tech - Solar (COM),PJ,PJA,PRE,COMSOL,ANNUAL,"0,00",Solar,Power plants,PV
COM_CBAT_BA,COM,.DMD.,Building Existing BA,MM2,MM2-A,DMD,CBATBA,ANNUAL,"0,00",Building Existing BA,Buildings,Commercial buildings
COM_CBAT_BP,COM,.DMD.,Building Existing BP,MM2,MM2-A,DMD,CBATBP,ANNUAL,"0,00",Building Existing BP,Buildings,Commercial buildings
COM_CBAT_CO,COM,.DMD.,Building Existing CO,MM2,MM2-A,DMD,CBATCO,ANNUAL,"0,00",Building Existing CO,Buildings,Commercial buildings
COM_CBAT_CS,COM,.DMD.,Building Existing CS,MM2,MM2-A,DMD,CBATCS,ANNUAL,"0,00",Building Existing CS,Buildings,Commercial buildings
COM_CBAT_DATA,COM,.DMD.,Building Existing DATA,MM2,MM2-A,DMD,CBATDATA,ANNUAL,"0,00",Building Existing DATA,Buildings,Commercial buildings
COM_CBAT_EN,COM,.DMD.,Building Existing EN,MM2,MM2-A,DMD,CBATEN,ANNUAL,"0,00",Building Existing EN,Buildings,Commercial buildings
COM_CBAT_SA,COM,.DMD.,Building Existing SA,MM2,MM2-A,DMD,CBATSA,ANNUAL,"0,00",Building Existing SA,Buildings,Commercial buildings
COM_CNBAT_BA,COM,.DMD.,Building New BA,MM2,MM2-A,DMD,CNBATBA,ANNUAL,"0,00",Building New BA,Buildings,Commercial buildings
COM_CNBAT_BP,COM,.DMD.,Building New BP,MM2,MM2-A,DMD,CNBATBP,ANNUAL,"0,00",Building New BP,Buildings,Commercial buildings
COM_CNBAT_CO,COM,.DMD.,Building New CO,MM2,MM2-A,DMD,CNBATCO,ANNUAL,"0,00",Building New CO,Buildings,Commercial buildings
COM_CNBAT_CS,COM,.DMD.,Building New CS,MM2,MM2-A,DMD,CNBATCS,ANNUAL,"0,00",Building New CS,Buildings,Commercial buildings
COM_CNBAT_DATA,COM,.DMD.,Building New TA,MM2,MM2-A,DMD,CNBATDATA,ANNUAL,"0,00",Building New TA,Buildings,Commercial buildings
COM_CNBAT_EN,COM,.DMD.,Building New EN,MM2,MM2-A,DMD,CNBATEN,ANNUAL,"0,00",Building New EN,Buildings,Commercial buildings
COM_CNBAT_SA,COM,.DMD.,Building New SA,MM2,MM2-A,DMD,CNBATSA,ANNUAL,"0,00",Building New SA,Buildings,Commercial buildings
COSEELC100,COM,.DMD.,Com.Serveur Electricity.DATA CENTER.ELC.00.Other Equipments.,PJ,PJA,DMD,COSE,ANNUAL,"0,00",Commercial data centres,Buildings,Commercial data centres
COSEELC101,COM,.DMD.,Com.Serveur Electricity.DATA CENTER.ELC.01.Other Equipments.,PJ,PJA,DMD,COSE,ANNUAL,"0,00",Commercial data centres,Buildings,Commercial data centres
CPLIELC100,COM,.DMD.,Com.Public Lighting.ELC.00.Generic Lamp.,PJ,PJA,DMD,CPLI,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
CPLIELC201,COM,.DMD.,Com.Public Lighting.ELC.201.LED.,PJ,PJA,DMD,CPLI,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
CREFELC100,COM,.DMD.,Com.Refrigeration.ELC.00.Refrigerator.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
CREFELC200,COM,.DMD.,Com.Refrigeration.ELC.00.Freezer.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
CREFELC300,COM,.DMD.,Com.Refrigeration.ELC.00.Refrigerator+Freezer.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
CREFELC301,COM,.DMD.,Com.Refrigeration.ELC.301.Refrigerator.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,Buildings,Commercial electrical appliances
CWBABGS100,COM,.PRE.,Com.Water Heat.BA.BGS.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBACPS100,COM,.PRE.,Com.Water Heat.BA.BIOCPS.00.Stove.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWBAGMX100,COM,.PRE.,Com.Water Heat.BA.GAS.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBAGMX101,COM,.PRE.,Com Water Heat New Boiler - BA - GMX101,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBALPG100,COM,.PRE.,Com.Water Heat.BA.LPG.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBAOIL100,COM,.PRE.,Com.Water Heat.BA.OIL.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CWBAPEL100,COM,.PRE.,Com.Water Heat.BA.BIOPEL.00.Stove.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWBASOL100,COM,.PRE.,Com.Water Heat.BA.SOL.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWBASOL101,COM,.PRE.,Com Water Heat New Boiler - BA - SOL101,PJ,GW,PRE,CWBA,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWBPBGS100,COM,.PRE.,Com.Water Heat.BP.BGS.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBPCPS100,COM,.PRE.,Com.Water Heat.BP.BIOCPS.00.Stove.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWBPGMX100,COM,.PRE.,Com.Water Heat.BP.GAS.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBPGMX101,COM,.PRE.,Com Water Heat New Boiler - BP - GMX101,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBPLPG100,COM,.PRE.,Com.Water Heat.BP.LPG.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWBPOIL100,COM,.PRE.,Com.Water Heat.BP.OIL.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CWBPPEL100,COM,.PRE.,Com.Water Heat.BP.BIOPEL.00.Stove.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWBPSOL100,COM,.PRE.,Com.Water Heat.BP.SOL.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWBPSOL101,COM,.DMD.,Com Water Heat New Boiler - BPN – SOL101,PJ,GW,DMD,CWBP,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWCOBGS100,COM,.PRE.,Com.Water Heat.CO.BGS.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCOCPS100,COM,.PRE.,Com.Water Heat.CO.BIOCPS.00.Stove.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWCOELC100,COM,.PRE.,Com.Water Heat.CO.ELC.00.Resistance.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial electrical stove,Buildings,Commercial electrical stove
CWCOELC200,COM,.PRE.,Com.Water Heat.CO.ELC.00.Heat Pump.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CWCOGMX100,COM,.PRE.,Com.Water Heat.CO.GAS.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCOGMX101,COM,.PRE.,Com Water Heat New Boiler - CO - GMX101,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCOLPG100,COM,.PRE.,Com.Water Heat.CO.LPG.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCOOIL100,COM,.PRE.,Com.Water Heat.CO.OIL.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CWCOPEL100,COM,.PRE.,Com.Water Heat.CO.BIOPEL.00.Stove.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWCOSOL100,COM,.PRE.,Com.Water Heat.CO.SOL.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWCOSOL101,COM,.PRE.,Com Water Heat New Boiler - CO - SOL101,PJ,GW,PRE,CWCO,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWCSBGS100,COM,.PRE.,Com.Water Heat.CS.BGS.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCSCPS100,COM,.PRE.,Com.Water Heat.CS.BIOCPS.00.Stove.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWCSGMX100,COM,.PRE.,Com.Water Heat.CS.GAS.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCSGMX101,COM,.PRE.,Com Water Heat New Boiler - CS - GMX101,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCSHET100,COM,.PRE.,Com.Water Heat.CS.LTH.00.Heat Exchanger.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CWCSLPG100,COM,.PRE.,Com.Water Heat.CS.LPG.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWCSOIL100,COM,.PRE.,Com.Water Heat.CS.OIL.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CWCSPEL100,COM,.PRE.,Com.Water Heat.CS.BIOPEL.00.Stove.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWCSSOL100,COM,.PRE.,Com.Water Heat.CS.SOL.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWCSSOL101,COM,.PRE.,Com Water Heat New Boiler - CS - SOL101,PJ,GW,PRE,CWCS,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWENBGS100,COM,.PRE.,Com.Water Heat.EN.BGS.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWENCPS100,COM,.PRE.,Com.Water Heat.EN.BIOCPS.00.Stove.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWENGMX100,COM,.PRE.,Com.Water Heat.EN.GAS.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWENGMX101,COM,.PRE.,Com Water Heat New Boiler - EN - GMX101,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWENLPG100,COM,.PRE.,Com.Water Heat.EN.LPG.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWENOIL100,COM,.PRE.,Com.Water Heat.EN.OIL.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CWENPEL100,COM,.PRE.,Com.Water Heat.EN.BIOPEL.00.Stove.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWENSOL100,COM,.PRE.,Com.Water Heat.EN.SOL.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWENSOL101,COM,.PRE.,Com Water Heat New Boiler - EN - SOL101,PJ,GW,PRE,CWEN,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWNBAGMX101,COM,.PRE.,Com Water Heat New Boiler - NBA - GMX101,PJ,GW,PRE,CWNBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWNBPGMX101,COM,.PRE.,Com Water Heat New Boiler - NBP - GMX101,PJ,GW,PRE,CWNBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWNCOGMX101,COM,.PRE.,Com Water Heat New Boiler - NCO - GMX101,PJ,GW,PRE,CWNCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWNCSGMX101,COM,.PRE.,Com Water Heat New Boiler - NCS - GMX101,PJ,GW,PRE,CWNCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWNCSSOL101,COM,.PRE.,Com Water Heat New Boiler - NCS - SOL101,PJ,GW,PRE,CWNCS,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWNENGMX101,COM,.PRE.,Com Water Heat New Boiler - NEN - GMX101,PJ,GW,PRE,CWNEN,ANNUAL,,Commercial gas boiler,Buildings,Commercial gas boiler
CWNENSOL101,COM,.PRE.,Com Water Heat New Boiler - NEN - SOL101,PJ,GW,PRE,CWNEN,ANNUAL,,Commercial solar thermal,Buildings,Commercial solar thermal
CWNSAGMX101,COM,.PRE.,Com Water Heat New Boiler - NSA - GMX101,PJ,GW,PRE,CWNSA,ANNUAL,,Commercial gas boiler,Buildings,Commercial gas boiler
CWNSASOL101,COM,.PRE.,Com Water Heat New Boiler - NSA - SOL101,PJ,GW,PRE,CWNSA,ANNUAL,,Commercial solar thermal,Buildings,Commercial solar thermal
CWSABGS100,COM,.PRE.,Com.Water Heat.SA.BGS.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWSACPS100,COM,.PRE.,Com.Water Heat.SA.BIOCPS.00.Stove.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CWSAGMX100,COM,.PRE.,Com.Water Heat.SA.GAS.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWSAGMX101,COM,.PRE.,Com Water Heat New Boiler - SA - GMX101,PJ,GW,PRE,CWSA,ANNUAL,,Commercial gas boiler,Buildings,Commercial gas boiler
CWSAHET100,COM,.PRE.,Com.Water Heat.SA.LTH.00.Heat Exchanger.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CWSALPG100,COM,.PRE.,Com.Water Heat.SA.LPG.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CWSAOIL100,COM,.PRE.,Com.Water Heat.SA.OIL.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CWSAPEL100,COM,.PRE.,Com.Water Heat.SA.BIOPEL.00.Stove.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
