Technology (Process),Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 2,sankey_overview,custom
CCDATELC300,COM,.PRE.,Com.Space Cool.DATA.ELC.00.Fans.,PJ,GW,PRE,CCDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCENELC100,COM,.PRE.,Com.Space Cool.EN.ELC.00.Central.,PJ,GW,PRE,CCEN,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCENELC200,COM,.PRE.,Com.Space Cool.EN.ELC.00.Windows.,PJ,GW,PRE,CCEN,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCENELC300,COM,.PRE.,Com.Space Cool.EN.ELC.00.Fans.,PJ,GW,PRE,CCEN,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCNBAELC301,COM,.PRE.,Com Space Cool New - NBA - ELC301,PJ,GW,PRE,CCNBA,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCNBPELC301,COM,.PRE.,Com Space Cool New - NBP - ELC301,PJ,GW,PRE,CCNBP,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCNCSELC301,COM,.PRE.,Com Space Cool New - NCS - ELC301,PJ,GW,PRE,CCNCS,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCNCSGMXHP101,COM,.PRE.,Com Space Cool New - NCS - GMX101,PJ,GW,PRE,CCNCS,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCNDATAELC301,COM,.PRE.,Com Space Cool New - NDATA - ELC301,PJ,GW,PRE,CCNDATA,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCNENELC301,COM,.PRE.,Com Space Cool New - NEN - ELC301,PJ,GW,PRE,CCNEN,ANNUAL,,commercial other,Buildings,Commercial cooling
CCNSAELC301,COM,.PRE.,Com Space Cool New - NSA - ELC301,PJ,GW,PRE,CCNSA,ANNUAL,,commercial other,Buildings,Commercial cooling
CCOKELC100,COM,.DMD.,Com.Cooking.ELC.00.Stove.,PJ,PJA,DMD,CCOK,ANNUAL,"0,00",commercial other,Buildings,Commercial cooking
CCOKGMX101,COM,.DMD.,Com.Cooking.GMX.01.Stove.,PJ,PJA,DMD,CCOK,ANNUAL,"0,00",commercial other,Buildings,Commercial cooking
CCOKLPG101,COM,.DMD.,Com.Cooking.LPG.01.Stove.,PJ,PJA,DMD,CCOK,ANNUAL,"0,00",commercial other,Buildings,Commercial cooking
CCSAELC100,COM,.PRE.,Com.Space Cool.SA.ELC.00.Central.,PJ,GW,PRE,CCSA,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCSAELC200,COM,.PRE.,Com.Space Cool.SA.ELC.00.Windows.,PJ,GW,PRE,CCSA,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCSAELC300,COM,.PRE.,Com.Space Cool.SA.ELC.00.Fans.,PJ,GW,PRE,CCSA,ANNUAL,"0,00",commercial other,Buildings,Commercial cooling
CCSAELC301,COM,.PRE.,Com Space Cool New - SA - ELC301,PJ,GW,PRE,CCSA,ANNUAL,,commercial other,Buildings,Commercial cooling
CHBABGS100,COM,.PRE.,Com.Space Heat.BA.BGS.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBACPS100,COM,.PRE.,Com.Space Heat.BA.BIOCPS.00.Stove.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBAELC100,COM,.PRE.,Com.Space Heat.BA.ELC.00.Resistance.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHBAELC200,COM,.PRE.,Com.Space Heat.BA.ELC.00.Heat Pump.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHBAELCHPR202,COM,.PRE.,Com Space Heat New Heat Pump With Reno - CO - ELC202,PJ,GW,PRE,CHBAELCHPR202_NRGO,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHBAGEO100,COM,.PRE.,Com.Space Heat.BA.GEO.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial Geothermal,Buildings,commercial Geothermal
CHBAGMX100,COM,.PRE.,Com.Space Heat.BA.GAS.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBAGMX501,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHBAGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBAHET100,COM,.PRE.,Com.Space Heat.BA.LTH.00.Heat exchanger.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHBALPG100,COM,.PRE.,Com.Space Heat.BA.LPG.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBALTH101,COM,.PRE.,Com Space Heat New Heat Exchanger - BA - HET101,PJ,GW,PRE,CHBALTH101_NRGO,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHBAOIL100,COM,.PRE.,Com.Space Heat.BA.OIL.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CHBAPEL100,COM,.PRE.,Com.Space Heat.BA.BIOPEL.00.Stove.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHBPBGS100,COM,.PRE.,Com.Space Heat.BP.BGS.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBPCPS100,COM,.PRE.,Com.Space Heat.BP.BIOCPS.00.Stove.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
